title,artist,top genre,year,energy,danceability,liveness,length,popularity
Blinding Lights,The Weeknd,canadian contemporary r&b,2020,73,51,9,200,91
Watermelon Sugar,Harry Styles,pop,2019,82,55,34,174,88
Mood (feat. iann dior),24kGoldn,cali rap,2021,72,70,32,141,88
Someone You Loved,Lewis Capaldi,pop,2019,41,50,11,182,86
Perfect,Ed Sheeran,pop,2017,45,60,11,263,86
Believer,Imagine Dragons,modern rock,2017,78,78,8,204,86
lovely (with Khalid),Billie Eilish,electropop,2018,30,35,10,200,86
Circles,Post Malone,dfw rap,2019,76,70,9,215,86
Shape of You,Ed Sheeran,pop,2017,65,83,9,234,85
Memories,Maroon 5,pop,2021,33,78,8,189,85
Closer,The Chainsmokers,dance pop,2016,52,75,11,245,84
bad guy,Billie Eilish,electropop,2019,43,70,10,194,84
Say You Won't Let Go,James Arthur,pop,2016,56,36,9,211,84
Lucid Dreams,Juice WRLD,chicago rap,2018,57,51,34,240,84
All of Me,John Legend,neo soul,2013,26,42,13,270,84
7 rings,Ariana Grande,dance pop,2019,32,78,9,179,84
Jocelyn Flores,XXXTENTACION,emo rap,2017,39,87,30,119,84
goosebumps,Travis Scott,rap,2016,73,84,15,244,84
Wake Me Up,Avicii,dance pop,2013,78,53,16,247,84
ROCKSTAR (feat. Roddy Ricch),DaBaby,north carolina hip hop,2020,69,75,10,182,84
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,52,59,13,218,83
Photograph,Ed Sheeran,pop,2014,38,61,10,259,83
SAD!,XXXTENTACION,emo rap,2018,61,74,12,167,83
SICKO MODE,Travis Scott,rap,2018,73,83,12,313,83
Stressed Out,Twenty One Pilots,modern rock,2015,64,73,6,202,83
Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,72,77,35,177,83
The Box,Roddy Ricch,melodic rap,2019,59,90,79,197,83
The Hills,The Weeknd,canadian contemporary r&b,2015,56,59,14,242,83
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2018,48,76,7,158,82
Thinking out Loud,Ed Sheeran,pop,2014,45,78,18,282,82
Starboy,The Weeknd,canadian contemporary r&b,2016,59,68,14,230,82
Love Yourself,Justin Bieber,canadian pop,2015,38,61,28,234,82
Something Just Like This,The Chainsmokers,dance pop,2017,64,62,16,247,82
Shallow,Lady Gaga,dance pop,2018,39,57,23,216,82
Thunder,Imagine Dragons,modern rock,2017,82,61,15,187,82
